Make,Model,Seats,Fuselage Width,Fuselage Length,Footprint,Skin Surface Area (sq ft),Maintenance Wash Hours,Decon Paint Hours,One Step Polish Hours,Fly Shiny Static Guard Wax Hours,Fly Shiny Air Gaurd Spray Ceramic Hours,Fly Shiny Pro Ceramic Coating Hours,Clean/Condition Leather Hours,Extract Carpets Hours,Bronze Package Hours,Silver Package Hours,Gold Package Hours,Platinum Package Hours,Shiny Jet Package Hours
Bell,430,10,11.3,44.1,498.33,"e3,200",12.50,10.00,24.94,6.94,16.61,44.30,2.78,1.28,,,,,
Bell,,22,7.1,56.6,401.86,"e4,200",10.08,8.11,20.11,5.61,13.44,35.72,6.11,1.61,,,,,
Bell,,5,5,34.6,173,"e1,150",4.33,3.50,8.67,2.44,5.78,15.38,1.39,1.00,,,,,
Bell,,6,40,40,1600,"e2,800",40.00,32.00,80.00,22.22,53.33,142.22,1.67,1.11,,,,,
Bell,,9,,37.7,,"e3,200",,,,,,,2.50,1.06,,,,,
Boeing,707,,,153,22185,"e20,800",64.17,73.89,283.89,99.44,,354.44,,5.00,,,,,
Boeing,717,,,124,11581.6,"e13,600",33.33,38.33,148.33,52.22,,185.00,,3.89,,,,,
Boeing,727,,,153,16524,"e18,500",48.33,56.11,211.67,74.44,,264.44,,5.00,,,,,
Boeing,737,,,116.7,13653.9,"e15,800",40.00,46.11,175.00,61.11,,218.33,,3.89,,,,,
Boeing,747,,,231.8,51923.2,"e28,000",150.00,172.78,663.89,232.22,,829.44,,7.22,,,,,
Boeing,757,,,178,22072,"e20,500",64.17,73.89,282.22,98.89,,352.78,,5.56,,,,,
Boeing,767,,,201,34170,"e24,000",98.33,113.33,436.67,153.33,,546.11,,6.67,,,,,
Boeing,777,,,209,44308,"e27,500",127.50,146.67,566.67,198.33,,707.78,,6.67,,,,,
Boeing,787,,,224,44195.2,"e25,000",127.50,146.67,565.00,197.78,,706.11,,7.22,,,,,
Bombardier,Lear 35,6,,48.58,1785.315,"e1,680",5.83,7.22,23.33,,,28.89,2.67,1.67,,,,,
Bombardier,Lear 40,6,,55.7,2662.46,"e2,100",8.33,10.00,34.44,,,42.78,2.67,2.22,,,,,
Bombardier,Lear 45,9,,58.75,2810.0125,"e2,200",8.33,10.00,36.11,,,45.00,4.00,2.22,,,,,
Bombardier,Lear 55,10,,55.08,2414.1564,"e1,950",7.50,8.89,31.11,,,38.89,4.44,2.22,,,,,
Bombardier,Lear 60,8,,58.67,2571.5061,"e2,050",7.50,8.89,33.33,,,41.11,3.56,2.22,,,,,
Bombardier,Challenger 600/601/604/605 ,12,,68.5,4411.4,,13.33,15.56,56.67,,,70.56,5.33,2.22,,,,,
Bombardier,Challenger 350,8,,68.63,4735.47,"e3,600",14.17,16.67,60.56,,,76.11,4.44,2.22,,,,,
Bombardier,Challenger 850,16,,87.1,6070.87,"e4,800",17.50,20.56,77.78,,,97.22,8.89,2.78,,,,,
Bombardier,Global 5500/5000,16,,96.1,9033.4,"e6,200",26.67,31.11,115.56,,,144.44,8.89,3.33,,,,,
